episode_id	env_time	destination_id	n_items	product_id	source_id
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	3	1	0	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	3	1	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	4	3	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	3	1	0	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	3	1	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	4	3	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	0	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	0	2	2	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	1	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	1	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	2	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	2	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	2	3	1	0	2
2b0594e7-773b-4c3a-9eb6-98326146c078	3	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	3	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	3	3	1	0	2
2b0594e7-773b-4c3a-9eb6-98326146c078	3	3	1	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	3	4	1	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	4	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	4	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	4	3	1	0	2
2b0594e7-773b-4c3a-9eb6-98326146c078	4	3	1	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	4	4	3	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	5	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	5	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	5	3	1	0	2
2b0594e7-773b-4c3a-9eb6-98326146c078	5	3	1	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	5	4	3	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	6	2	1	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	6	2	4	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	6	3	1	0	2
2b0594e7-773b-4c3a-9eb6-98326146c078	6	3	1	1	2
2b0594e7-773b-4c3a-9eb6-98326146c078	6	4	3	1	2
